"1-1";"2-1";"3-1";"4-1";"5-1";"6-1";"1-2";"2-2";"3-2";"4-2";"5-2";"6-2";"1-3";"2-3";"3-3";"4-3";"5-3";"6-3";"1-4";"2-4";"3-4";"4-4";"5-4";"6-4";"1-5";"2-5";"3-5";"4-5";"5-5";"6-5";"1-6";"2-6";"3-6";"4-6";"5-6";"6-6";"7-7";"8-7";"9-7";"7-8";"8-8";"9-8";"7-9";"8-9";"9-9";"10-10";"11-10";"10-11";"11-11"
"82";1;1.1;1;0.9;1.1;1.1;0.9;1;0.9;1;1.1;1;1;0.9;1.1;1.1;NA;1.1;1.1;0.9;0.9;0.9;1;0.9;1;0.9;1.1;0.9;1.1;1;0.9;1.1;1;1.1;1.1;1;1.1;0.9;0.9;0.9;1.1;1;1;0.9;1;1;0.9;1;1.1
"83";1.1;1.1;0.9;1.1;0.9;1;0.9;1.1;1.1;0.9;1;1;1;1.1;1.1;1.1;1.1;1;0.9;0.9;1;1;0.9;1;1.1;1.1;1.1;1;0.9;1;1.1;0.9;1.1;1.1;1;1;1;1;0.9;0.9;0.9;0.9;0.9;1;0.9;1;1;1.1;0.9
"84";0.9;1;1;1;1.1;0.9;0.9;0.9;1.1;1;0.9;1.1;0.9;1.1;1;1.1;1.1;0.9;1.1;1;1.1;1.1;0.9;1;1.1;0.9;1.1;1;1.1;1.1;0.9;0.9;1.1;1;1.1;0.9;0.9;1;1;0.9;1.1;1;1;1;1;1;0.9;0.9;1
"85";1;1;0.9;1.1;0.9;1.1;1.1;0.9;1;1.1;0.9;0.9;1;1.1;1.1;1.1;NA;1;1.1;1.1;1;0.9;1;1;0.9;1.1;1;0.9;1;0.9;1.1;1.1;1;1;1.1;0.9;0.9;1.1;0.9;1;1;0.9;0.9;0.9;0.9;1.1;1;1.1;1
"86";1.1;1;0.9;1;0.9;0.9;1;1.1;1.1;1.1;1;0.9;0.9;0.9;1;1;NA;0.9;1.1;0.9;0.9;1.1;1;1.1;0.9;1.1;1.1;1;1.1;1.1;0.9;1;1;1;0.9;1;1.1;1.1;1.1;1;0.9;0.9;1;0.9;1.1;0.9;1;1.1;1
"87";0.9;1.1;0.9;0.9;0.9;1.1;1.1;0.9;0.9;1.1;1.1;0.9;1;1.1;0.9;1;NA;1.1;1;0.9;1.1;0.9;1;0.9;0.9;0.9;1.1;1.1;1;1.1;1;1.1;1;1;0.9;1;1;1;1.1;0.9;1.1;1.1;1;1.1;1;1;1;1;0.9
"88";1;1.1;1;0.9;1.1;1.1;1.1;1;1;1;1;1.1;0.9;1;1.1;0.9;0.9;1.1;1.1;1;1.1;1;0.9;0.9;1;1.1;0.9;0.9;1;1;0.9;0.9;1;1;1;0.9;1.1;0.9;0.9;1.1;1.1;1.1;0.9;1.1;1;0.9;1.1;0.9;1
"89";0.9;0.9;1;1.1;1.1;1;1;1;1;1.1;0.9;1;0.9;1;1.1;1.1;NA;1;1.1;1.1;1;0.9;0.9;1.1;0.9;0.9;1.1;0.9;0.9;1.1;1.1;0.9;1;1.1;0.9;0.9;1;1;1;1;0.9;0.9;0.9;1.1;1.1;1;1;1.1;1.1
"90";1;0.9;0.9;0.9;1;0.9;1;1;0.9;1;1.1;0.9;0.9;0.9;1;0.9;1.1;1;1;1.1;0.9;0.9;1.1;0.9;0.9;1.1;1;1.1;1.1;1;1.1;1;1;1.1;1.1;1.1;1;1.1;1.1;0.9;0.9;1.1;1;0.9;1;1;1;1.1;1.1
"91";0.9;1;1;1;0.9;1.1;0.9;1.1;1.1;1.1;1;1.1;0.9;1;1.1;1;1.1;0.9;0.9;1.1;0.9;0.9;1;1;0.9;1.1;1.1;0.9;1.1;1;0.9;0.9;1.1;1;1;0.9;0.9;1;1;1;0.9;1.1;1.1;1;1;1.1;1.1;0.9;1
"92";1.1;1;0.9;1.1;1.1;1.1;1;1.1;1.1;1;0.9;1;1;0.9;0.9;0.9;0.9;0.9;1;0.9;1;0.9;1;1;1.1;0.9;1;0.9;1.1;1;1;0.9;1.1;1.1;0.9;1.1;1.1;1;1.1;1;0.9;1;1;0.9;1.1;0.9;1;1.1;1.1
"93";0.9;0.9;1.1;1;1;0.9;0.9;0.9;1;0.9;0.9;1.1;0.9;1;0.9;0.9;NA;1;1;1;1.1;0.9;1;1.1;1;0.9;1.1;1.1;1.1;1.1;1.1;1;1;1;1.1;1;1;1.1;0.9;1.1;1;1.1;1;0.9;0.9;0.9;1.1;1.1;1.1
"94";0.9;0.9;1;1.1;1.1;0.9;1;1;1.1;1;1;0.9;0.9;1.1;0.9;1;NA;1.1;0.9;1;1.1;1.1;0.9;0.9;0.9;1.1;1.1;1;0.9;1.1;1;0.9;1.1;0.9;0.9;1;1;1;1;1.1;1.1;1;0.9;1.1;1;1.1;1;1.1;0.9
"95";1;1.1;1;0.9;1.1;1;1.1;0.9;0.9;0.9;0.9;1.1;1.1;0.9;1;1;0.9;1.1;0.9;1.1;1;1;0.9;1.1;1;1;1.1;1;1;0.9;1;1.1;1;0.9;1.1;1;1.1;1;1.1;1.1;0.9;0.9;0.9;1;1.1;0.9;1;0.9;1.1
"96";0.9;1;0.9;0.9;1.1;1.1;1.1;1.1;1;0.9;1.1;1;1;1;1;0.9;NA;1.1;0.9;0.9;1;1;1.1;1;1.1;0.9;0.9;1.1;1.1;1.1;1.1;0.9;1;0.9;0.9;1;0.9;1;1;1.1;0.9;0.9;1;1.1;1;0.9;1;1.1;1.1
"97";0.9;1.1;1;1.1;0.9;0.9;1.1;0.9;0.9;1.1;1;0.9;1;1;0.9;0.9;0.9;1.1;1;0.9;1;0.9;0.9;1;1.1;0.9;1;1.1;1.1;1.1;1.1;1.1;1;1;1.1;1.1;1;1.1;1;0.9;1;1;1.1;1.1;0.9;1;0.9;1;1
"98";1;1.1;0.9;1.1;1.1;1.1;0.9;1;0.9;0.9;1.1;1;1.1;1;0.9;1;NA;0.9;0.9;0.9;1.1;1;1.1;1.1;0.9;0.9;1.1;0.9;1;1;1;0.9;0.9;1;1.1;1.1;1.1;1.1;1;1;1;0.9;1.1;0.9;1;0.9;1.1;1;1
"99";0.9;1;0.9;0.9;1.1;1;1.1;1;1;0.9;0.9;1.1;1;0.9;1;1.1;NA;1.1;1.1;1;0.9;1.1;1;1.1;1;1.1;1;1.1;1.1;0.9;0.9;1;1.1;0.9;1.1;1.1;0.9;1.1;1;0.9;0.9;1.1;1;1;0.9;1;0.9;1;0.9
"100";1.1;1.1;0.9;0.9;1.1;0.9;1;0.9;1;0.9;0.9;0.9;1.1;1;1;0.9;NA;1;1.1;1.1;1.1;0.9;0.9;1;1.1;1;1;0.9;0.9;0.9;1.1;1;0.9;1.1;1;0.9;1.1;1;0.9;1.1;1.1;1;1;1.1;1.1;1;1.1;1;1
"101";0.9;1.1;1.1;1;1.1;1.1;1;0.9;0.9;1;1.1;1;1.1;0.9;0.9;1;NA;0.9;1;1;1;1.1;1.1;0.9;1;0.9;0.9;0.9;0.9;1.1;0.9;1;1.1;1;1;0.9;1.1;1.1;1;1;0.9;0.9;1;1;0.9;1.1;1.1;1.1;1.1
"102";1;1;0.9;1.1;1.1;1;0.9;0.9;0.9;1.1;1;0.9;0.9;1.1;1;1;0.9;0.9;1.1;1.1;1;1.1;1.1;1.1;1;1.1;0.9;1;1;1.1;1.1;0.9;0.9;1.1;1;1;1;0.9;0.9;1;1;1.1;0.9;1;1.1;0.9;1.1;1;0.9
"103";0.9;1;1.1;1;1.1;0.9;1;1.1;1.1;1;1;1.1;1;0.9;1;1;0.9;1;1;1.1;1;0.9;1;1.1;1.1;0.9;0.9;1;0.9;1;0.9;1.1;0.9;1.1;0.9;0.9;1;1.1;1;0.9;1;1.1;0.9;1.1;1.1;1.1;0.9;0.9;1.1
"104";1.1;0.9;1;1.1;1.1;1.1;0.9;0.9;0.9;0.9;1.1;1.1;1.1;1.1;1;1;1.1;1;1;1;0.9;1;1.1;1.1;1;1;0.9;1;1.1;1;1;1;1.1;1;0.9;0.9;0.9;1;1.1;0.9;0.9;1.1;1;1;0.9;0.9;0.9;0.9;1.1
"105";0.9;0.9;1.1;1;0.9;0.9;0.9;0.9;1.1;1.1;1.1;1.1;0.9;1.1;1;0.9;NA;1;1;0.9;1.1;1;0.9;1;1;1.1;1.1;1;0.9;1.1;0.9;0.9;1;1;1;0.9;1.1;0.9;1;1.1;0.9;1.1;1;1.1;1.1;1;1;1;1.1
"106";1.1;0.9;1;1;0.9;0.9;1;0.9;1.1;0.9;0.9;0.9;1.1;0.9;1.1;1;NA;1;0.9;1;1;0.9;1;1;1.1;1;0.9;1.1;0.9;1.1;0.9;1.1;1;1.1;1;0.9;1.1;1.1;1.1;1;1.1;1;1.1;0.9;1;1;0.9;1.1;1.1
"107";1;1.1;0.9;0.9;1;0.9;1.1;0.9;1;0.9;0.9;1.1;1;1;1.1;1;1.1;1;1.1;1;0.9;0.9;1.1;0.9;1;1;0.9;1.1;1;0.9;1;1.1;1;1.1;1.1;1.1;0.9;1;0.9;1;1.1;0.9;1.1;1;0.9;1.1;0.9;1;1.1
"108";1;1.1;1.1;1;1;0.9;1.1;1.1;1;0.9;1;1.1;1.1;0.9;0.9;1.1;0.9;1;0.9;0.9;1.1;1.1;1;1.1;0.9;1;0.9;0.9;1.1;1.1;1.1;0.9;1;0.9;1.1;1.1;1;1.1;0.9;0.9;1;1;0.9;1;1;1;0.9;1;1
"109";1.1;0.9;1.1;0.9;1;1;1;1;0.9;1.1;1.1;1;1;0.9;1.1;0.9;0.9;1;0.9;1;1;1.1;1.1;0.9;1;1.1;1.1;1;0.9;1;1;1;1.1;0.9;1;1.1;0.9;1;1.1;0.9;0.9;1.1;0.9;1.1;1.1;0.9;0.9;1;1.1
"110";0.9;1;1.1;1;1.1;1.1;0.9;1;1.1;0.9;1.1;1;1.1;0.9;1.1;1.1;NA;1.1;1;0.9;0.9;1;1;1;1;1;0.9;1.1;1;1.1;1.1;1.1;1;0.9;0.9;0.9;1;1.1;0.9;1.1;0.9;0.9;0.9;1;0.9;1;1.1;0.9;1
"111";1;1.1;1;0.9;0.9;1.1;0.9;1.1;1;1;1;1.1;1;1.1;0.9;1.1;1.1;0.9;1.1;1.1;1;0.9;1.1;1;0.9;1.1;1;0.9;0.9;1;0.9;1;0.9;0.9;1;1;0.9;1.1;1.1;0.9;0.9;1.1;1.1;0.9;1.1;1;1;1;1
"112";1;0.9;1.1;1;1;1;0.9;0.9;1.1;1;1.1;1;0.9;0.9;1.1;1.1;0.9;1.1;0.9;1;1;1;1.1;0.9;1.1;1.1;1;1.1;1.1;1;0.9;0.9;0.9;0.9;0.9;1.1;1.1;1;0.9;1;1;1.1;1.1;0.9;1.1;1;1;1;0.9
"113";0.9;0.9;0.9;1;1.1;1.1;1;1;1.1;1;1;1.1;1;1.1;1;0.9;0.9;1;0.9;1.1;1.1;1.1;1;1.1;1;1;0.9;0.9;0.9;0.9;0.9;0.9;1.1;1;1;1;1.1;1.1;1;1.1;0.9;1;1.1;0.9;1.1;1.1;0.9;0.9;1
"114";0.9;0.9;1.1;0.9;1;1;0.9;0.9;1;1.1;1;0.9;1;0.9;1;1.1;1.1;1.1;0.9;1;1.1;1;1;1.1;0.9;1;1.1;1;1.1;0.9;1.1;0.9;1.1;1.1;1;1;0.9;1.1;1;1;1;1;0.9;0.9;0.9;1.1;1.1;0.9;1.1
"115";1;1;1;1.1;1.1;1;1.1;0.9;1;1.1;1.1;1;0.9;1;1;1;1.1;0.9;1.1;0.9;0.9;1.1;1;0.9;1.1;1.1;1;1;1.1;0.9;1.1;1;0.9;1.1;0.9;1.1;1;1;1;0.9;0.9;0.9;0.9;0.9;1.1;0.9;1.1;0.9;1
"116";1;1;1;1;1.1;0.9;1.1;0.9;1.1;1;0.9;0.9;1.1;1.1;1.1;0.9;NA;1.1;1.1;1;1;1.1;1;0.9;1;0.9;1;0.9;1;1.1;1.1;1.1;1.1;1;0.9;1;1;1.1;0.9;0.9;0.9;1;1;0.9;0.9;1.1;0.9;0.9;1.1
"117";1.1;1.1;0.9;1.1;1;1.1;0.9;0.9;0.9;0.9;1.1;1.1;1;1;1;1.1;1.1;0.9;1;1;1.1;1.1;1;0.9;1;1.1;0.9;1.1;1;1;1.1;0.9;0.9;0.9;0.9;1.1;0.9;0.9;1;1;1;1.1;1.1;1;0.9;1;0.9;1;1
"118";1.1;0.9;1;1.1;1;1;1.1;1;1.1;0.9;1;0.9;1.1;0.9;0.9;1;1.1;1;0.9;1;0.9;1.1;0.9;0.9;1.1;1.1;0.9;0.9;1.1;1;1.1;0.9;1;0.9;1;1;1;1.1;1;1.1;0.9;1;1;0.9;1.1;1.1;1;1.1;0.9
"119";1;1.1;0.9;1.1;1;1;0.9;1;0.9;1.1;0.9;1.1;1;0.9;0.9;0.9;1.1;1.1;1.1;0.9;1;1.1;1;1;1.1;1.1;1.1;0.9;1;0.9;0.9;1;0.9;0.9;1;1.1;1;1.1;1.1;1.1;0.9;0.9;1.1;1;1;1;1;0.9;1
"120";1;0.9;0.9;0.9;1;1.1;1;1.1;1;0.9;1.1;0.9;0.9;1.1;0.9;1;NA;1.1;1;0.9;0.9;1.1;1.1;1;1;0.9;1;0.9;1.1;1;0.9;1.1;1.1;1.1;1;1.1;1;1.1;1.1;0.9;1;1;1.1;0.9;1;1.1;1;0.9;0.9
"121";1.1;1;1;1;1.1;1.1;1.1;0.9;1.1;1.1;0.9;0.9;1;0.9;1;1;NA;0.9;0.9;0.9;1;1.1;0.9;1.1;1;1.1;0.9;1;1.1;1;0.9;0.9;1;1.1;1;0.9;1;1.1;1;0.9;1.1;0.9;1;0.9;0.9;1;1.1;1.1;1.1
"122";1.1;1.1;1;1;1.1;0.9;0.9;1.1;1;1;1;1;1.1;0.9;1.1;1.1;1.1;0.9;1.1;1;1;0.9;0.9;1.1;0.9;1;0.9;1;1.1;1.1;0.9;1;1;1.1;0.9;0.9;1.1;1;1.1;0.9;1;1;1.1;1;0.9;0.9;1;0.9;0.9
"123";1;0.9;0.9;1.1;0.9;1;1;1.1;1.1;0.9;0.9;1;1;1.1;0.9;1;NA;0.9;1.1;1.1;0.9;1.1;1;0.9;1;1;1.1;1.1;1.1;0.9;1;1.1;1.1;1;1.1;0.9;1;1.1;0.9;0.9;1;0.9;1;1;0.9;1.1;1.1;0.9;1
"124";0.9;1;1;1;1;0.9;0.9;1.1;1.1;0.9;1.1;0.9;0.9;1;1;0.9;NA;1.1;0.9;1.1;1.1;0.9;0.9;1.1;1.1;0.9;1;0.9;0.9;1.1;1;1.1;1;1;1;1;1;1.1;0.9;0.9;1;1.1;1.1;1.1;1.1;1;0.9;1.1;1
"125";1;0.9;1.1;0.9;1.1;1.1;0.9;0.9;1.1;0.9;0.9;1.1;1;1;1;1.1;NA;1;1.1;1;1;1;0.9;0.9;1;0.9;0.9;1.1;1.1;1;1;0.9;0.9;1.1;0.9;1;0.9;1;1.1;1.1;0.9;1.1;1;1.1;1.1;1;0.9;1.1;1
"126";1;1.1;1.1;1.1;0.9;1.1;1.1;1.1;1.1;1.1;0.9;0.9;1.1;1.1;0.9;1;NA;1.1;0.9;1.1;1.1;1;1;0.9;1.1;1;0.9;1;0.9;0.9;1;1;0.9;0.9;1;1;1;1;0.9;1;1;1.1;1;1;0.9;0.9;0.9;1.1;0.9
"127";1.1;1;1;1.1;1;1;0.9;1;1.1;1;1.1;1;1.1;1.1;0.9;0.9;1.1;0.9;1.1;1;1.1;1;1;0.9;1;1.1;1.1;0.9;1.1;0.9;0.9;0.9;0.9;0.9;1.1;1;1;1.1;0.9;0.9;0.9;1;1.1;1;1;1.1;0.9;1;0.9
"128";1.1;0.9;1;1.1;0.9;1;1;1;1;1.1;0.9;1;1;0.9;0.9;1.1;NA;1.1;1;1;1.1;1.1;0.9;1;0.9;1;1.1;0.9;1.1;0.9;1;1;1.1;0.9;0.9;1.1;1.1;0.9;1;0.9;1.1;1.1;0.9;1.1;0.9;1.1;1;1;0.9
"129";0.9;1.1;1;1.1;1;1.1;0.9;1;1;0.9;1.1;1.1;0.9;1.1;1.1;0.9;NA;1;0.9;0.9;0.9;0.9;1.1;1.1;1;1;1;0.9;0.9;1.1;1.1;0.9;1;1;1;0.9;0.9;1;0.9;1.1;1.1;1;1;1.1;1;1.1;1.1;0.9;1
"130";0.9;1.1;1;1;1.1;1.1;0.9;1;1;1.1;1;1.1;1;0.9;1.1;0.9;1.1;1.1;0.9;1;0.9;1.1;1;1;0.9;0.9;0.9;1;1.1;1;0.9;1;1.1;0.9;1.1;1.1;0.9;1;0.9;1;0.9;1.1;1.1;1.1;0.9;1;0.9;1;1
"131";1.1;1;1;1;1.1;1.1;1.1;1;1;1.1;0.9;1;0.9;1;1;1;0.9;1.1;0.9;0.9;1;0.9;0.9;1.1;1;0.9;1;0.9;1.1;0.9;1.1;1;1;0.9;1.1;0.9;1;1.1;1;0.9;1.1;1.1;1.1;0.9;0.9;1.1;1;0.9;1.1
"132";0.9;1.1;1;0.9;1;1;1.1;0.9;1.1;1.1;0.9;0.9;0.9;1;1.1;1.1;1.1;1;1;1.1;0.9;1;0.9;0.9;0.9;0.9;1.1;1;1;1.1;1.1;1;1.1;0.9;0.9;1.1;1.1;1;0.9;1;1;0.9;1;1.1;0.9;1;1;1.1;1
"133";1.1;0.9;1.1;1;1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;0.9;0.9;0.9;1.1;1.1;0.9;1;0.9;0.9;1;1.1;1;1.1;0.9;0.9;1;1;1;0.9;0.9;1;1;0.9;1;1;1;1.1;1;0.9;1.1;1.1;1;0.9;0.9;1;1;0.9
"134";1;0.9;1.1;1;1;0.9;1.1;1;1.1;1.1;1.1;0.9;1;1;0.9;1;1.1;1.1;1;1;1.1;1.1;0.9;0.9;1;1.1;1;1;1.1;0.9;1.1;0.9;1.1;1;1;0.9;0.9;1.1;1;0.9;0.9;1;0.9;1.1;0.9;1;0.9;1.1;0.9
"135";0.9;1.1;1;1;1;0.9;1.1;0.9;1;0.9;0.9;1;1;1.1;1.1;1.1;NA;1.1;0.9;0.9;0.9;1;1.1;1;0.9;1.1;1;0.9;1.1;1.1;1;1.1;0.9;0.9;0.9;0.9;1.1;1.1;0.9;1;1.1;1;1.1;0.9;1;1;1.1;1;1
"136";1;0.9;1.1;1;1;1.1;1.1;1;1.1;1.1;0.9;1.1;0.9;1;0.9;0.9;1.1;1.1;1;1.1;0.9;1;1.1;0.9;1.1;0.9;1;1;1;1.1;0.9;0.9;1.1;0.9;1;1;1.1;1;1.1;0.9;1;0.9;1;1.1;0.9;1;1;0.9;0.9
"137";1.1;1;1;1.1;0.9;0.9;1;1.1;0.9;0.9;1.1;1;1;1;1;1;1.1;1;0.9;1.1;1.1;1;1;1.1;0.9;1;1;0.9;0.9;1.1;1.1;0.9;0.9;0.9;1.1;1.1;1.1;0.9;0.9;1.1;1;0.9;1;1.1;1;0.9;1.1;0.9;1
"138";0.9;0.9;0.9;1.1;1;1.1;0.9;0.9;0.9;1;1;1.1;1;1;1;1;NA;1.1;1.1;1;1.1;1.1;1.1;1.1;1;0.9;1.1;1.1;0.9;0.9;0.9;0.9;1;1;1;0.9;0.9;0.9;1;1.1;0.9;1.1;0.9;1.1;1;1;1.1;1.1;1
"139";1.1;1;0.9;0.9;1.1;1.1;1;1.1;0.9;0.9;1.1;1.1;0.9;0.9;1.1;1;NA;0.9;1;0.9;0.9;1.1;1;1.1;1.1;1;1;1;1.1;0.9;1.1;0.9;0.9;1.1;1;1;1.1;1.1;0.9;1;1;1;1;0.9;0.9;1;0.9;1;1.1
"140";1.1;0.9;1.1;1.1;1.1;1;0.9;0.9;1;0.9;1;1.1;0.9;1;1;1.1;0.9;1.1;1.1;1;1;1.1;0.9;0.9;1;0.9;1.1;0.9;1.1;1;1.1;1.1;0.9;0.9;1;1;1;0.9;0.9;1;0.9;1;1.1;0.9;1.1;1.1;1;1;1
"141";1;0.9;1.1;1.1;0.9;1.1;1;1;1.1;1;0.9;0.9;1;1;1.1;1;NA;0.9;0.9;1;1.1;0.9;0.9;1.1;1.1;1;1;1;1.1;0.9;1;0.9;1;0.9;1;0.9;0.9;1;1.1;1.1;1;1.1;0.9;1.1;1.1;0.9;1.1;1.1;0.9
"142";0.9;1;0.9;1.1;1;1;1.1;0.9;1.1;1.1;1;1.1;1.1;0.9;0.9;1;NA;1.1;0.9;0.9;1;0.9;0.9;1;1;1;1;1;1;0.9;0.9;0.9;1.1;1.1;1;1.1;1;1.1;0.9;1.1;1.1;1.1;0.9;0.9;1;1.1;1;0.9;1.1
"143";1;0.9;1.1;1;0.9;0.9;1.1;0.9;0.9;1.1;1;1.1;1.1;0.9;1;1.1;NA;0.9;1;1;1;0.9;1;1.1;1;1.1;0.9;1.1;1.1;1;1.1;0.9;0.9;0.9;1.1;0.9;1;1;1.1;1;1;0.9;1.1;0.9;1;1;0.9;1.1;1.1
"144";1.1;1;1;0.9;0.9;0.9;0.9;1;1.1;0.9;1.1;0.9;1;1;1;0.9;NA;1.1;1;1.1;1;0.9;1;1.1;1.1;1;1;1;0.9;1;1.1;0.9;1;0.9;1.1;1.1;1;0.9;1.1;1.1;1.1;1.1;1.1;0.9;1.1;0.9;1;0.9;0.9
"145";0.9;1;1.1;1.1;1.1;0.9;1.1;1;1.1;0.9;1.1;1.1;1;0.9;1;1;NA;0.9;0.9;1;0.9;0.9;1;0.9;1;0.9;1.1;1.1;1.1;1.1;1;1;1;1.1;0.9;0.9;1;0.9;1;0.9;1.1;1;0.9;1.1;1.1;0.9;1.1;1;1
"146";1;0.9;1;0.9;0.9;1.1;0.9;1;0.9;1.1;1.1;0.9;1.1;1.1;0.9;0.9;1.1;1.1;1.1;0.9;1.1;1;1;1;0.9;1.1;1;1;1;0.9;0.9;1.1;1;1.1;1.1;1;0.9;0.9;1;0.9;1.1;0.9;1.1;1;1;1;1.1;1;1
"147";0.9;0.9;1.1;0.9;0.9;1.1;0.9;1;0.9;1.1;1.1;1;1.1;1.1;0.9;1;NA;0.9;1.1;1;1.1;1.1;1;1.1;1.1;1;1;0.9;1;1;1.1;1.1;1;1;0.9;1;1;0.9;0.9;0.9;1;1.1;0.9;0.9;1.1;1.1;0.9;1;1
"148";1;0.9;0.9;1.1;1;1;0.9;1.1;1.1;1.1;1.1;1;1.1;0.9;0.9;1;1.1;1;0.9;1.1;0.9;1.1;0.9;1;0.9;1;1;1;1.1;1;0.9;1;0.9;1.1;0.9;1.1;1.1;0.9;1;1;0.9;1.1;1;0.9;1.1;1.1;1;1;0.9
"149";1;1.1;0.9;1.1;0.9;1.1;0.9;1.1;1;1.1;0.9;1;0.9;0.9;1.1;1;NA;1;1;1.1;1.1;1;1;0.9;1;1.1;0.9;1;0.9;0.9;1.1;1;0.9;1.1;0.9;1.1;1.1;1;0.9;0.9;1;1.1;1;1.1;0.9;0.9;1;1.1;1
"150";1.1;0.9;0.9;1;1;1;1;1.1;1;0.9;0.9;1;0.9;1;1;0.9;NA;1.1;1.1;1.1;0.9;1.1;1.1;1.1;1.1;1.1;0.9;0.9;0.9;1.1;1.1;1;0.9;0.9;0.9;0.9;1.1;1;1;1.1;1;1.1;1;1;1;1;1.1;0.9;0.9
"151";1;1;0.9;1;1;0.9;1.1;1;1;1;1.1;0.9;1.1;1.1;1;1;1.1;1.1;0.9;0.9;1;1;0.9;0.9;1.1;1.1;0.9;1.1;1.1;1.1;0.9;1.1;1;0.9;1.1;1.1;0.9;0.9;0.9;1;1.1;0.9;0.9;1;1;0.9;1.1;1;1
"152";0.9;0.9;1.1;0.9;1;1.1;1.1;1;0.9;0.9;1.1;0.9;1;0.9;1;1.1;1.1;1.1;1;1.1;1.1;1.1;1;1;1;0.9;1;0.9;1.1;1;0.9;0.9;1;0.9;1;0.9;1.1;1;1.1;0.9;0.9;0.9;1;1.1;1;1.1;1;1.1;1
"153";1;0.9;0.9;1.1;1.1;0.9;1;1.1;1.1;1;0.9;1.1;0.9;1.1;0.9;0.9;0.9;1.1;1;1.1;0.9;1;0.9;1.1;1;1;0.9;1.1;1;1;1.1;1.1;1.1;1.1;1.1;1;1;1;0.9;1;0.9;1;0.9;0.9;1;0.9;1;1.1;1
"154";1;1.1;1;1.1;1.1;1.1;1.1;1;1;1;1;0.9;1;1.1;0.9;1.1;NA;0.9;1.1;1.1;0.9;0.9;0.9;1.1;0.9;0.9;1;1;1;1.1;0.9;0.9;0.9;0.9;1;1;1;1.1;0.9;1.1;1;1.1;1.1;0.9;0.9;1.1;1;1;0.9
"155";1.1;1.1;1.1;1;1;1.1;1;0.9;1;0.9;1;0.9;0.9;1.1;1;1;1.1;1;0.9;1;1;1;1;1.1;1;1.1;1.1;1.1;0.9;1.1;1.1;0.9;1;0.9;0.9;0.9;1.1;0.9;1;0.9;0.9;0.9;1;1.1;0.9;1.1;1;1.1;0.9
"156";1;1.1;0.9;1.1;1.1;1.1;1.1;0.9;1.1;1;0.9;0.9;1;1.1;0.9;1.1;0.9;1.1;1;0.9;1;1.1;1;1;0.9;0.9;1;0.9;0.9;0.9;1;1.1;0.9;1;0.9;1;1.1;1.1;0.9;1;1;1;1;1.1;0.9;1;1.1;1;1.1
"157";1.1;1;1;1;1.1;1;1;1;0.9;0.9;1;1;1;0.9;0.9;0.9;NA;0.9;1;1.1;1.1;0.9;0.9;0.9;1.1;0.9;1.1;0.9;1;1.1;1.1;0.9;1.1;1.1;1.1;0.9;1.1;1;1.1;1.1;0.9;0.9;1.1;1;1;1;1;0.9;1.1
"158";1.1;0.9;1.1;1;1;0.9;1;1.1;1.1;0.9;0.9;0.9;1.1;1.1;1;0.9;NA;1.1;0.9;1.1;1;1.1;1;0.9;1;1.1;0.9;1;0.9;1;1.1;1.1;0.9;1;0.9;0.9;1.1;1.1;0.9;1;1;1;0.9;1;0.9;1.1;1.1;1;1
"159";0.9;1;1;0.9;1;1;1;0.9;1;1;0.9;0.9;1;1.1;1;1.1;1.1;1.1;1.1;1.1;1.1;1;0.9;1.1;1.1;1.1;0.9;1;1;1.1;0.9;0.9;1.1;0.9;1.1;1.1;1;0.9;0.9;0.9;1;1.1;1;0.9;1;0.9;1.1;1;0.9
"160";1;1;1;0.9;0.9;1;1.1;1.1;0.9;0.9;1;0.9;1;1;0.9;0.9;0.9;0.9;1.1;1;1;1.1;1;1;1.1;1;1;0.9;1.1;1.1;0.9;0.9;0.9;0.9;0.9;1.1;1.1;1.1;1.1;1;0.9;1.1;1;1.1;1;1.1;1.1;1;1.1
"161";0.9;1.1;0.9;1.1;0.9;0.9;1.1;1;1;1;1;1;0.9;1;1.1;0.9;1.1;0.9;1.1;1.1;1;0.9;0.9;1;1.1;1;1.1;1;1.1;1.1;0.9;0.9;1;1.1;1.1;1;1.1;0.9;1;1;0.9;1;1;0.9;1.1;1;0.9;0.9;1.1
"162";1.1;1.1;0.9;0.9;1;1;1;1;1.1;1;1;1.1;0.9;0.9;1;1;1.1;0.9;1.1;1;1;0.9;1;0.9;0.9;0.9;1;1;0.9;1.1;1.1;1.1;1;1.1;0.9;0.9;1;0.9;1;1.1;1.1;0.9;1.1;1;1.1;1.1;0.9;0.9;1.1
"163";1;1.1;1;1.1;1;1.1;1.1;1;1.1;0.9;1.1;1.1;1;1.1;1;1.1;1.1;0.9;1.1;0.9;1.1;1.1;0.9;1;1.1;1;1;0.9;0.9;1;1.1;1;0.9;1.1;0.9;0.9;1;0.9;0.9;1;0.9;1;1;0.9;1;0.9;1;0.9;0.9
"164";1;0.9;0.9;1;0.9;1;1.1;1.1;1.1;1;1.1;0.9;1;1;0.9;1.1;0.9;0.9;1.1;1;0.9;1;1.1;1;1;1.1;0.9;1.1;1;1.1;1;1.1;0.9;0.9;1;1;1;1;0.9;0.9;1.1;1.1;1.1;0.9;1.1;0.9;0.9;1;1.1
