"1-1";"2-1";"4-1";"5-1";"6-1";"1-2";"2-2";"3-2";"4-2";"5-2";"6-2";"1-3";"2-3";"3-3";"4-3";"5-3";"6-3";"1-4";"2-4";"3-4";"4-4";"5-4";"4-5";"5-5";"1-6";"2-6";"4-6";"5-6";"6-6";"7-7";"9-7";"7-8";"8-8";"9-8";"7-9";"9-9";"10-10";"10-11";"11-11"
"103";1;1;1.1;0.9;1;0.9;0.9;1;1.1;0.9;0.9;0.9;0.9;1;1;1.1;0.9;1;1;1.1;1.1;1.1;1;1;1.1;0.9;1.1;0.9;1;1;1.1;0.9;0.9;1;1.1;1.1;0.9;1.1;1.1
"104";0.9;0.9;0.9;0.9;1.1;1;1;1.1;0.9;0.9;1.1;1.1;1.1;0.9;1;1;0.9;1.1;1;1.1;1.1;1.1;1;0.9;1;1;1;1.1;1;0.9;1;1;1.1;0.9;1;0.9;1.1;1.1;0.9
"105";1.1;0.9;1;1.1;0.9;1.1;1.1;1.1;1;1;0.9;0.9;1.1;1.1;1;0.9;0.9;0.9;0.9;1;1.1;1;1;0.9;0.9;1.1;1.1;1;0.9;1;1;1.1;1;1;1.1;0.9;1.1;1;0.9
"106";1;0.9;1.1;1.1;1.1;1;1.1;1.1;0.9;1.1;1.1;0.9;NA;0.9;1;1;1.1;0.9;0.9;0.9;0.9;0.9;1;1;0.9;0.9;1.1;1.1;1;1.1;1.1;0.9;1.1;1;1;1;0.9;1;1
"107";1.1;0.9;1;0.9;1;1;0.9;1.1;0.9;1.1;1.1;1.1;0.9;1;1.1;1;1.1;1;0.9;0.9;1.1;1.1;1.1;1.1;1.1;1;1.1;1;0.9;1;0.9;0.9;1;1;0.9;0.9;1;0.9;1
"108";1.1;1;1;1;1;1;0.9;1;1.1;1;1.1;1.1;NA;1.1;1.1;0.9;1.1;1.1;0.9;1;1.1;0.9;0.9;0.9;1;0.9;1;1.1;0.9;0.9;0.9;1.1;1;1.1;0.9;0.9;1;1.1;0.9
"109";1;1;1.1;1.1;0.9;0.9;1;1;1;0.9;1.1;0.9;NA;0.9;1.1;1;0.9;0.9;0.9;1;1.1;1;0.9;1;0.9;0.9;0.9;1.1;1.1;1;1.1;1;1.1;1.1;1.1;0.9;1.1;1.1;1
"110";0.9;0.9;0.9;1.1;1.1;1.1;0.9;1;1;0.9;1.1;1;1.1;1;1.1;1.1;1;1;1;0.9;1;0.9;1.1;1;0.9;1.1;0.9;1.1;1;0.9;1.1;0.9;0.9;0.9;1.1;1;1.1;1;1
"111";0.9;0.9;1;0.9;1.1;1;1;0.9;1.1;1;0.9;0.9;NA;1.1;1;1.1;1.1;1;1;1.1;1;1.1;1.1;1.1;1;1;0.9;0.9;1.1;1.1;0.9;0.9;1;1;1.1;0.9;0.9;0.9;1.1
"112";1;1;0.9;1;0.9;1;1;0.9;0.9;1.1;1.1;1;1.1;0.9;0.9;1.1;0.9;0.9;1.1;0.9;0.9;1.1;0.9;0.9;1.1;1.1;1.1;1;1.1;1.1;1.1;0.9;1;1;1;1;1;1.1;1
"113";1;0.9;1;1.1;0.9;0.9;1;0.9;1.1;1;1;1.1;1.1;1;1;0.9;1;0.9;0.9;1;1.1;1.1;1;1.1;1.1;1.1;0.9;0.9;1.1;1.1;1;1.1;0.9;0.9;1;0.9;0.9;1;1.1
"114";1.1;0.9;1;1.1;1.1;0.9;1;1.1;1;1;1;0.9;0.9;1.1;1;1.1;1.1;1.1;0.9;1;1;0.9;1;0.9;0.9;1;0.9;1.1;0.9;1;1.1;0.9;1.1;1.1;0.9;0.9;1;1.1;1
"115";1.1;0.9;1;1.1;0.9;1.1;0.9;1.1;1.1;0.9;1;1.1;0.9;1.1;0.9;1;1;0.9;1.1;1.1;0.9;1;0.9;1;0.9;1;1.1;0.9;1.1;1.1;1;1;1;0.9;0.9;1.1;1;1;1
"116";1;1;1;0.9;1;0.9;0.9;1;1;0.9;0.9;1.1;0.9;1;1.1;0.9;1.1;1.1;0.9;0.9;1;0.9;1.1;0.9;1;1.1;1.1;1.1;0.9;0.9;1.1;1;1.1;1.1;1;1.1;1.1;1;1
"117";1.1;0.9;1;1;1.1;1;1.1;0.9;1.1;1;1.1;1.1;NA;1;1;1.1;1.1;1;1;0.9;1;0.9;1.1;0.9;0.9;1.1;0.9;0.9;0.9;1.1;1;0.9;1;1;0.9;1.1;1.1;0.9;0.9
"118";1.1;0.9;1.1;1.1;1.1;1.1;1;0.9;0.9;0.9;0.9;1;NA;1;0.9;0.9;0.9;1.1;1;1.1;1;1.1;1.1;0.9;1.1;1;1;0.9;1;1.1;1.1;1.1;1;0.9;1;0.9;1;1;0.9
"119";1;1.1;1;1;1;1.1;1;0.9;1;0.9;0.9;0.9;0.9;1;0.9;1;0.9;1.1;1;1.1;0.9;1;1;1.1;0.9;1.1;1;1;0.9;1.1;0.9;1.1;1.1;0.9;1.1;0.9;1.1;1.1;1.1
"120";1;1;1;1.1;1.1;0.9;1;0.9;0.9;1;0.9;1;1.1;0.9;1;0.9;1.1;1;1;0.9;1.1;1.1;1.1;1.1;0.9;1.1;0.9;0.9;1.1;0.9;0.9;1.1;1;1.1;1;1;1;1.1;0.9
"121";1.1;0.9;1;0.9;0.9;1;1;1;1;1.1;0.9;1.1;1.1;0.9;1;1.1;1;0.9;1;1.1;1;1.1;0.9;1.1;0.9;1.1;1;0.9;1;1.1;1.1;0.9;1;0.9;1.1;1.1;0.9;0.9;1
"122";1;0.9;1;0.9;0.9;1.1;1;1.1;0.9;1;1;0.9;1.1;1;1;0.9;0.9;1.1;0.9;1.1;1.1;1.1;0.9;1.1;1.1;1;1;1.1;1;1.1;1;1.1;0.9;1;1;1.1;0.9;0.9;0.9
"123";0.9;0.9;0.9;1;1;1;1;1.1;1;0.9;1;1.1;1.1;1.1;0.9;1;1.1;1.1;0.9;0.9;1.1;1.1;0.9;1.1;1.1;1;1;0.9;0.9;1.1;1.1;0.9;1;1;1.1;1;1;0.9;0.9
"124";1.1;0.9;1.1;1;0.9;1.1;0.9;0.9;1;1.1;0.9;1;NA;1;1;1.1;0.9;1;0.9;0.9;0.9;0.9;1.1;0.9;1;1;1.1;0.9;1;1;1.1;1;1.1;1;1.1;1.1;1.1;1.1;0.9
"125";1.1;1;1.1;1.1;0.9;1;1.1;1.1;1;1;1.1;1.1;NA;0.9;1;0.9;0.9;1.1;0.9;0.9;0.9;1;1.1;1;0.9;0.9;1;1.1;1.1;1;1.1;0.9;1.1;1;0.9;1;0.9;0.9;1
"126";0.9;1.1;1;1.1;1.1;1;0.9;0.9;1.1;0.9;0.9;1.1;NA;1;1.1;1;0.9;0.9;1.1;0.9;1;0.9;0.9;1.1;1;0.9;1;1;1.1;1.1;1.1;1;1.1;1;0.9;0.9;1.1;1;1
"127";0.9;1.1;1.1;1;1.1;0.9;0.9;0.9;0.9;1.1;1;1.1;NA;1.1;0.9;0.9;0.9;1;0.9;1.1;1;0.9;1;1;1.1;1.1;1.1;1;0.9;1.1;1;0.9;1.1;1;1;1;1.1;1;0.9
"128";1;1;1.1;1.1;1;1.1;0.9;1.1;1.1;0.9;0.9;0.9;NA;1;1.1;0.9;0.9;0.9;1;0.9;1;1.1;1;1.1;0.9;1;1;1;1;1;1.1;0.9;1.1;1.1;1.1;1.1;0.9;0.9;0.9
"129";1.1;1;0.9;1.1;0.9;1.1;1;1.1;0.9;1.1;1;0.9;1.1;1;0.9;1;1;0.9;1;0.9;1;1.1;1.1;0.9;1;0.9;0.9;1;1.1;1.1;1;1;1.1;0.9;1.1;0.9;1;1.1;0.9
"130";1.1;1.1;1.1;1;0.9;1;1;1;1.1;1.1;1;1;NA;1.1;1.1;0.9;1;1.1;1.1;0.9;0.9;1;1;0.9;1.1;0.9;0.9;0.9;1.1;0.9;0.9;1;1.1;0.9;0.9;1.1;0.9;1;1
"131";1;0.9;0.9;1.1;1;1;1;1;1;1;1.1;0.9;0.9;0.9;1.1;0.9;0.9;1.1;1;1;1.1;1.1;0.9;0.9;1.1;1.1;1;0.9;0.9;1.1;1.1;1.1;1;1;0.9;0.9;1.1;1;1.1
"132";1;0.9;1;1.1;0.9;0.9;1.1;1.1;1.1;0.9;0.9;1;NA;0.9;1;1.1;1;1.1;1;1;0.9;1.1;0.9;1;1;1.1;0.9;1.1;1;0.9;0.9;1.1;1;0.9;1.1;1.1;1;1.1;0.9
"133";1;1;1.1;1;1;1.1;1;0.9;1;0.9;0.9;0.9;0.9;0.9;0.9;1.1;0.9;1.1;0.9;1;1.1;1;1.1;0.9;1.1;0.9;1.1;0.9;1;1;1.1;1;0.9;1;1.1;1.1;1.1;1.1;1
"134";0.9;0.9;1;1.1;1;1;1.1;0.9;1.1;1;1.1;1.1;0.9;0.9;1.1;1;1;0.9;1;0.9;1.1;1;0.9;0.9;0.9;1.1;1;1;1;0.9;0.9;1.1;1.1;1.1;0.9;1;1.1;1;1.1
"135";0.9;1;1.1;1.1;1.1;0.9;1;0.9;1.1;1;1;0.9;NA;0.9;0.9;0.9;1.1;0.9;1;0.9;1;1;1.1;1;1.1;0.9;1.1;0.9;0.9;1.1;1.1;1.1;1;1;1;1;1.1;0.9;1.1
"136";0.9;1.1;1.1;1.1;0.9;0.9;0.9;1;1.1;1.1;1;1;1.1;1;1.1;1;1;1.1;0.9;1;1.1;0.9;1;0.9;1.1;0.9;0.9;1;0.9;0.9;0.9;1;1;1.1;1;1;1.1;0.9;1.1
"137";1.1;0.9;0.9;1;1;1.1;1.1;1;1.1;1.1;0.9;1.1;NA;0.9;0.9;0.9;0.9;1.1;1;1.1;0.9;1.1;1;1.1;1;1;1.1;1;1.1;1.1;0.9;0.9;1;0.9;1;1;1;0.9;0.9
"138";1.1;0.9;1.1;1.1;1;0.9;1.1;1;1.1;0.9;1.1;1;NA;0.9;0.9;0.9;0.9;1;1.1;1;1.1;0.9;1.1;1.1;1;0.9;0.9;1.1;1;1;1.1;1;0.9;0.9;1;1;1;0.9;1.1
"139";1;0.9;1;1;0.9;1;1;0.9;1.1;1;1.1;1.1;0.9;1;0.9;1.1;0.9;1.1;1;1;1.1;1.1;0.9;1.1;1;0.9;1.1;1;1.1;1;0.9;1.1;0.9;0.9;1.1;0.9;1.1;0.9;1
"140";0.9;0.9;1;1.1;1.1;0.9;1.1;0.9;1;1;1.1;0.9;NA;0.9;1;1.1;0.9;1.1;1;0.9;0.9;1.1;1;0.9;1.1;0.9;1;1;1;0.9;1.1;1.1;1;0.9;1;1;1.1;1.1;1.1
"141";0.9;0.9;1;1;0.9;0.9;0.9;1.1;1;1.1;1.1;1.1;1.1;1.1;1;0.9;1;1;0.9;0.9;0.9;1.1;1;1;0.9;1.1;1.1;1;1;1.1;1.1;1.1;0.9;0.9;1;0.9;1;1;1.1
"142";1;0.9;1.1;1;0.9;0.9;1.1;1;1;0.9;1.1;0.9;0.9;1.1;0.9;1;0.9;1;1.1;0.9;1;1.1;1;0.9;1;1;0.9;1.1;1.1;1.1;0.9;1.1;0.9;1.1;1.1;1;1.1;1;1
"143";1;1;0.9;1.1;1.1;0.9;1;0.9;1.1;0.9;1.1;1.1;0.9;1;1.1;1.1;1;1;1.1;0.9;0.9;0.9;1;1.1;1;0.9;0.9;1.1;1.1;0.9;0.9;0.9;1;1;1;1;1;1.1;1.1
"144";1.1;0.9;1;0.9;1.1;1;0.9;0.9;1.1;1;0.9;1;0.9;1;1.1;0.9;1;1;1.1;1.1;1;1;1;0.9;0.9;1;1.1;1.1;1.1;0.9;1.1;1.1;1;1.1;0.9;1;1.1;0.9;0.9
"145";0.9;0.9;1.1;0.9;1.1;1.1;1;0.9;1.1;1;1;1;0.9;1.1;1;1.1;1;1;0.9;1;1;1.1;1.1;1;1;1.1;1.1;1;0.9;1;0.9;1.1;1.1;0.9;0.9;0.9;1.1;0.9;0.9
"146";0.9;1;1.1;1.1;0.9;1.1;1.1;1.1;0.9;1;1;0.9;1.1;1.1;0.9;1;1;0.9;1;1;0.9;0.9;0.9;0.9;0.9;1.1;1.1;1;1.1;0.9;1;1;1;1;1.1;1.1;1.1;1;0.9
"147";0.9;1;1;1.1;0.9;0.9;0.9;0.9;1.1;1.1;1.1;1.1;NA;0.9;0.9;1;1;0.9;1;1.1;0.9;1.1;1;1.1;0.9;1.1;1;0.9;1.1;0.9;1.1;1;0.9;1;1;1.1;1;1.1;1
"148";1.1;0.9;1.1;1;1.1;0.9;1.1;1;1;1;1.1;1.1;0.9;0.9;0.9;0.9;0.9;1;1;0.9;1.1;1;1;0.9;0.9;1;0.9;1;1.1;0.9;0.9;1;1;1.1;1.1;1.1;1;1.1;1.1
"149";1.1;1.1;1;1.1;0.9;0.9;1.1;1;1;1.1;1.1;1;NA;0.9;0.9;1;0.9;1;1;1.1;1;0.9;1;1.1;0.9;0.9;1;1;1.1;0.9;1.1;1.1;0.9;1;0.9;1.1;0.9;0.9;1.1
"150";1;0.9;1;1;1.1;1.1;0.9;1;1;1.1;0.9;0.9;NA;1.1;1;1;1.1;0.9;0.9;1.1;0.9;0.9;0.9;0.9;1.1;1;1;1.1;1;1.1;0.9;1.1;1.1;0.9;1.1;1.1;1;1;0.9
"151";0.9;1;0.9;1.1;1.1;1.1;1.1;1;0.9;1;1;1;1.1;0.9;1;1.1;0.9;0.9;1.1;1;1;1;1.1;0.9;0.9;1.1;1.1;1.1;0.9;0.9;0.9;1;1.1;1;1.1;1;0.9;0.9;1
"152";1;0.9;1.1;0.9;1;1.1;1;0.9;1;1;1;1;1.1;1.1;1.1;1.1;0.9;1.1;0.9;0.9;1.1;1.1;1.1;1;0.9;0.9;0.9;1.1;1;0.9;0.9;1;1.1;1;0.9;0.9;1.1;1;1
"153";1.1;1.1;0.9;1;1.1;0.9;1;1.1;1.1;0.9;1;1;0.9;1;1;1.1;0.9;1.1;1.1;0.9;1;1;0.9;0.9;1;0.9;0.9;1.1;1.1;0.9;0.9;1.1;0.9;1;1.1;1;1;1;1.1
"154";1;0.9;1;0.9;1;1;0.9;1.1;1.1;1.1;1.1;1;NA;0.9;1;0.9;1.1;0.9;0.9;1.1;1;1;0.9;1.1;0.9;1.1;0.9;1;0.9;0.9;1.1;1;0.9;1.1;1.1;1.1;1;1;1.1
"155";0.9;0.9;1;0.9;0.9;1;1;0.9;0.9;1.1;1.1;0.9;1.1;1.1;0.9;1.1;1;1;1.1;1.1;1.1;1;1;1;1.1;1.1;0.9;1;1.1;0.9;1;0.9;1;1;1.1;1.1;0.9;1;0.9
"156";1;1;1.1;1.1;1.1;1;1;1;1.1;1;0.9;1;NA;1.1;1.1;0.9;0.9;1.1;1;1.1;0.9;1.1;1.1;1.1;0.9;0.9;0.9;1.1;1;0.9;1;1.1;1;0.9;1;0.9;0.9;0.9;0.9
"157";1;1;0.9;1;1;0.9;1;1.1;1;1;1.1;1.1;0.9;0.9;0.9;1;1.1;0.9;1.1;1.1;0.9;0.9;0.9;0.9;1;1;1.1;1;1.1;1;1.1;1.1;0.9;0.9;1.1;1.1;0.9;1;1.1
"158";1.1;1.1;1;1;1.1;1;1.1;0.9;0.9;0.9;1;1.1;NA;1.1;0.9;0.9;0.9;0.9;1.1;1.1;1.1;1.1;1;0.9;1.1;1;1;1.1;1;0.9;1.1;1;0.9;0.9;1;1;1;0.9;0.9
"159";0.9;0.9;1;1;0.9;0.9;1;0.9;1;1;1.1;1.1;1.1;1;0.9;1.1;1.1;0.9;1.1;0.9;1;0.9;1.1;1;1.1;1.1;0.9;0.9;1.1;0.9;0.9;1.1;1.1;1;1;1;1;1.1;1
"160";1;1;0.9;0.9;1.1;1.1;0.9;0.9;1.1;0.9;1;1.1;NA;1;0.9;1.1;0.9;0.9;1.1;1;1;1.1;1;0.9;1;1.1;0.9;0.9;1.1;0.9;0.9;1.1;1;1.1;1;1.1;1;1;1.1
"161";1;0.9;1;1;0.9;0.9;1.1;1;1.1;0.9;1;0.9;1.1;1.1;1;1;1;1;1.1;1;0.9;1.1;1;0.9;1.1;0.9;0.9;0.9;1;1.1;1.1;0.9;1.1;1.1;0.9;1;1.1;1.1;0.9
"162";1;1.1;0.9;1;1.1;1;1;1.1;1.1;1;0.9;1;NA;1.1;0.9;1;1;1;0.9;1.1;1;0.9;0.9;0.9;1;1;1.1;0.9;1.1;1.1;0.9;0.9;1.1;0.9;0.9;1.1;0.9;1.1;1.1
"163";1;1.1;1.1;0.9;1;1;0.9;0.9;1.1;1.1;1;0.9;1.1;0.9;1.1;1.1;0.9;1.1;1;0.9;0.9;1;1;1;1;1;1;0.9;0.9;0.9;0.9;1.1;0.9;1.1;1;1.1;1.1;1.1;1
"164";1;0.9;1;0.9;1;1;1;1;1;1;1;0.9;1.1;1.1;1.1;1;0.9;0.9;1;0.9;1.1;1.1;1.1;1.1;1.1;1.1;1.1;0.9;1.1;0.9;0.9;1.1;1;0.9;1.1;0.9;1;0.9;0.9
"165";1.1;1;1;1;1.1;1.1;0.9;1.1;0.9;0.9;0.9;1;NA;0.9;0.9;0.9;1;0.9;1;1;1.1;1;1;0.9;1.1;0.9;1;1.1;1.1;0.9;1;1;1.1;0.9;1.1;1.1;0.9;1.1;1.1
"166";1.1;0.9;1;1.1;1.1;0.9;1;0.9;0.9;1.1;1.1;1;0.9;1;1.1;1;1;1.1;1.1;1;1.1;0.9;1;0.9;1;1.1;1.1;0.9;1;0.9;1.1;0.9;1;1.1;1;0.9;0.9;0.9;1
"167";0.9;1.1;0.9;0.9;1.1;1.1;1;1.1;1.1;1;1.1;1;NA;0.9;1;1.1;0.9;0.9;1.1;1;1;0.9;0.9;0.9;1.1;1;0.9;0.9;1;1.1;1;0.9;1.1;1;0.9;1;1;1.1;1.1
"168";1;0.9;0.9;0.9;0.9;1.1;1;1;1.1;0.9;1.1;0.9;0.9;1.1;0.9;1;1.1;0.9;0.9;1.1;1;1.1;0.9;1;1;0.9;1.1;1;1.1;1;1;1.1;1.1;1;1.1;1;1.1;0.9;1
"169";0.9;1.1;1;0.9;1;1;0.9;1.1;0.9;1;0.9;1.1;NA;1.1;1.1;0.9;0.9;1.1;0.9;0.9;1.1;1.1;0.9;1;1.1;1;1;0.9;1;0.9;1.1;1.1;1;1;1;1.1;1.1;1;0.9
"170";0.9;0.9;0.9;0.9;1;0.9;1.1;1.1;1.1;1.1;0.9;1;0.9;1;1.1;1;1;1;1;0.9;1.1;1.1;1.1;0.9;1;1.1;1;1;0.9;1.1;1.1;0.9;1.1;1;1;1.1;0.9;0.9;1
"171";1;1;1.1;0.9;0.9;1;0.9;1.1;1.1;1;0.9;0.9;0.9;1.1;1;0.9;0.9;1;1;1.1;1;1;1.1;0.9;1;0.9;1.1;0.9;1.1;1;1.1;0.9;1.1;1.1;1.1;1;1;0.9;1.1
"172";1.1;1.1;1;1;1.1;1;0.9;0.9;0.9;1;0.9;1.1;1.1;1.1;1;1;1.1;1.1;0.9;1.1;1.1;1;1;1.1;0.9;1;0.9;1;1;0.9;0.9;0.9;0.9;0.9;1;1;1.1;0.9;1.1
"173";1;1;1.1;1;1.1;0.9;1.1;1.1;1.1;0.9;1;0.9;NA;1;1;0.9;1;1.1;0.9;0.9;1;0.9;1.1;0.9;0.9;1.1;1.1;1.1;1.1;1;1;0.9;0.9;0.9;1;0.9;1.1;1;1.1
"174";0.9;1;1.1;1.1;0.9;1;1.1;0.9;1.1;1;1;0.9;0.9;0.9;1.1;0.9;1;1;1.1;1;1;0.9;1;0.9;1.1;0.9;1;1;0.9;1.1;1.1;1;0.9;1.1;1;1.1;0.9;1.1;1.1
"175";1;1;1.1;1;1;1.1;1;1.1;1.1;1.1;0.9;0.9;1.1;1;0.9;1.1;1.1;0.9;1.1;1;1;1;1;0.9;0.9;0.9;1.1;0.9;0.9;0.9;1;0.9;1.1;1.1;1;0.9;1;1.1;0.9
"176";1.1;1.1;1.1;1;0.9;1;1;0.9;0.9;1.1;0.9;1.1;NA;1;1.1;0.9;1.1;0.9;1.1;0.9;0.9;1.1;1.1;1;1.1;0.9;1;0.9;0.9;1;1;0.9;1;0.9;1.1;1;1;1.1;1
"177";1;0.9;1;0.9;1;1;1.1;1;0.9;0.9;0.9;1.1;0.9;1.1;1;1.1;1.1;1.1;0.9;1;0.9;0.9;1;1.1;1.1;0.9;1.1;1.1;1;0.9;1;1.1;0.9;0.9;1;1.1;1;1;1.1
"178";0.9;1.1;1;0.9;0.9;1;1;1.1;0.9;1;1.1;0.9;NA;1.1;0.9;1.1;1.1;1;1;1;0.9;0.9;1;0.9;1.1;0.9;0.9;1.1;1;0.9;1;0.9;1;1.1;1.1;1;1.1;1.1;1.1
"179";1.1;0.9;1;1;1.1;1;1;0.9;0.9;0.9;1;1.1;0.9;1;1;1;1.1;1;0.9;0.9;0.9;0.9;1;1.1;1.1;1.1;1.1;1;1.1;1;0.9;0.9;0.9;1.1;1;1.1;1.1;1.1;0.9
"180";1.1;1;1.1;0.9;1;1;1;1.1;1.1;1.1;0.9;0.9;NA;1;1;0.9;0.9;0.9;1.1;0.9;0.9;1.1;1.1;1;1.1;1;0.9;1.1;1;1;0.9;1.1;1;1.1;0.9;0.9;0.9;1.1;1
"181";0.9;0.9;0.9;1;1.1;0.9;1;0.9;1;0.9;1;1;1.1;0.9;1;1.1;1.1;0.9;0.9;0.9;1;1;1;1.1;0.9;1.1;1.1;1;1;1.1;0.9;1.1;0.9;1.1;1;1.1;1.1;1;1.1
"182";1.1;0.9;1;0.9;1;1;1.1;1.1;0.9;0.9;1;0.9;1.1;1.1;0.9;0.9;0.9;1;1;0.9;1;1.1;1.1;1;1.1;0.9;1.1;1.1;0.9;1.1;1.1;1;0.9;1;1;0.9;1;1.1;1
"183";1;1.1;1.1;1.1;0.9;1.1;1.1;0.9;1.1;1;1;0.9;0.9;1.1;0.9;1;0.9;1;1;1;1;1;1.1;0.9;1;0.9;1.1;1;0.9;1.1;1.1;0.9;0.9;1;0.9;1.1;1.1;1;0.9
"184";0.9;1;0.9;1.1;1;1;1.1;0.9;1.1;1;1;0.9;0.9;1;0.9;1.1;0.9;0.9;0.9;1.1;0.9;1.1;1.1;1.1;1;0.9;1.1;1.1;1;1;1;1.1;1.1;1;1;1.1;1;0.9;0.9
"185";1;1.1;0.9;0.9;0.9;0.9;1;0.9;1.1;0.9;0.9;1;NA;1.1;1;1;1;1.1;1;1;1.1;1;1.1;1.1;0.9;0.9;1;1;1.1;1;1.1;0.9;0.9;0.9;1.1;1.1;1.1;1.1;0.9
"186";1.1;0.9;1.1;0.9;1.1;1.1;0.9;1.1;1;1;1.1;0.9;0.9;0.9;0.9;1;1.1;1;0.9;1;0.9;0.9;1;0.9;1;1.1;1.1;1.1;0.9;1;1;1.1;1;1;1.1;1.1;0.9;1;1
"187";0.9;1.1;1;1.1;0.9;1.1;0.9;1.1;0.9;1;0.9;0.9;NA;1.1;0.9;1;1.1;1;1;0.9;0.9;0.9;1;1;1.1;0.9;1.1;1;0.9;1.1;1;1.1;1.1;1;0.9;1;1.1;1.1;1
"188";0.9;1.1;0.9;1;0.9;0.9;1;1;1;0.9;1;1;0.9;0.9;1.1;0.9;1.1;1;1.1;1.1;1;1;1.1;1.1;1;1.1;1.1;0.9;0.9;1.1;1;0.9;0.9;1.1;1.1;0.9;1;1.1;1
"189";1.1;0.9;0.9;1.1;0.9;1.1;0.9;1;1.1;0.9;0.9;1.1;NA;1.1;1.1;1;1.1;0.9;0.9;1;1.1;1;1;0.9;1;1.1;1.1;0.9;1;0.9;0.9;1;1.1;1;0.9;1;1;1.1;1
"190";1;0.9;0.9;1;1;1.1;1.1;1;1;1;0.9;1.1;0.9;0.9;1.1;1.1;1.1;0.9;1.1;1.1;1;0.9;1;0.9;1.1;0.9;1;1;0.9;1;1.1;1;1.1;0.9;1.1;1.1;0.9;0.9;1
"191";1;1.1;1.1;0.9;1.1;0.9;1;1.1;1.1;1;1.1;0.9;1.1;0.9;1.1;1.1;1;1.1;1.1;0.9;1;0.9;1;1;1;0.9;1;0.9;1.1;0.9;0.9;0.9;1;0.9;0.9;1;1;1.1;1
"192";1;0.9;1;1.1;1.1;1.1;0.9;0.9;1;1.1;1;0.9;0.9;1.1;1;1;0.9;1;1.1;1.1;0.9;0.9;1;1;0.9;1.1;0.9;1.1;1;1;0.9;1;1.1;0.9;1.1;1.1;1.1;1;0.9
"193";0.9;1;0.9;1.1;0.9;1.1;1.1;1.1;1.1;1;1.1;1;0.9;1;1.1;1;0.9;1;1;1.1;0.9;0.9;1.1;1;1;1;0.9;1;1.1;1;0.9;1.1;0.9;1;1.1;1.1;0.9;0.9;0.9
"194";1.1;1;1;0.9;1;1.1;1.1;0.9;0.9;1;0.9;1.1;1.1;1;0.9;1.1;1.1;0.9;1.1;1.1;1;1;0.9;1;0.9;0.9;0.9;1;0.9;1;1.1;1;0.9;1;1.1;1.1;1;1.1;0.9
"195";1;0.9;0.9;1;1;0.9;1;1;1.1;0.9;1.1;1;NA;1.1;0.9;1;1;0.9;1;0.9;1.1;1.1;0.9;1.1;1.1;0.9;1;0.9;0.9;1;1.1;0.9;1.1;0.9;1.1;1.1;1.1;1;1.1
"196";0.9;1;1.1;1;1.1;1;1.1;0.9;0.9;1;1;0.9;NA;0.9;0.9;1;1;1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;0.9;0.9;0.9;1.1;1.1;1;1;0.9;1;0.9;0.9;1;0.9
"197";0.9;0.9;1;1.1;1.1;1.1;0.9;0.9;0.9;0.9;1.1;1.1;1.1;1.1;0.9;1;1.1;1;1;1;1;1.1;1;0.9;1;1;0.9;0.9;0.9;1.1;0.9;1;1.1;1;1;1;1.1;0.9;1.1
"198";1;0.9;0.9;0.9;0.9;1.1;1;1;1;1;0.9;0.9;NA;0.9;1;1.1;1.1;1;0.9;1;0.9;1.1;1.1;0.9;1.1;1.1;0.9;1.1;1;0.9;1;1.1;1.1;1;1.1;1.1;0.9;1.1;1
"199";1.1;0.9;0.9;1.1;1;0.9;1;0.9;1;0.9;0.9;1.1;0.9;1;1.1;1.1;1.1;1;1;1.1;1.1;0.9;0.9;1;1;1;1.1;1.1;0.9;0.9;1;1;1;0.9;0.9;1;1.1;1.1;1.1
"200";0.9;0.9;1;1.1;1;1.1;1.1;0.9;0.9;1.1;0.9;0.9;NA;1;0.9;1.1;0.9;1;1;1.1;1.1;1.1;0.9;1;1.1;0.9;0.9;0.9;1;1.1;1.1;1;1;1;1.1;1.1;1;1;0.9
"201";0.9;1.1;0.9;1.1;1;0.9;0.9;0.9;1.1;1.1;1;1;0.9;0.9;1.1;0.9;1.1;0.9;0.9;1;0.9;1.1;1;1;1;1;1;1;1.1;1;1;1;0.9;1.1;1.1;0.9;1.1;1.1;1.1
"202";0.9;1;1.1;1;1;1.1;1.1;1.1;1.1;0.9;0.9;1.1;1.1;1.1;1;1.1;1;1;0.9;1.1;1.1;0.9;0.9;1;0.9;1;1;0.9;1.1;1;1;0.9;1.1;0.9;0.9;0.9;1;1;0.9
"203";0.9;1.1;1.1;1.1;0.9;0.9;1.1;1.1;1;0.9;1;1.1;1.1;1;0.9;1.1;0.9;1;1.1;0.9;1.1;0.9;1;1;1.1;1.1;1;0.9;1.1;1;1;1;0.9;0.9;0.9;1;1;0.9;1
"204";1;1;0.9;1.1;0.9;0.9;1.1;1;1.1;1;1.1;1.1;NA;1.1;0.9;0.9;1.1;1.1;1;1.1;0.9;1;0.9;1.1;0.9;0.9;1.1;1.1;1.1;1;1;0.9;0.9;0.9;1;1;0.9;1;1
"205";1.1;1.1;1;0.9;1;1.1;1.1;0.9;0.9;0.9;0.9;1.1;NA;1;1;0.9;1;1.1;0.9;1;1.1;1.1;1.1;0.9;1;0.9;1;1.1;0.9;0.9;1.1;1;0.9;1;0.9;1;1.1;1;1.1
